folder,model,reasoning,refl,schedule,g1_sev,n_post,targ,nonq4_raw,smooth_baseline_nonq4,spill,scarred,survival,total_decisions,defaulted_decisions,api_errors,api_error_rate
main_claude_opus_recovery_20260521_161326,claude-opus-4-6,adaptive,none,1strike,MEMBER,10,0.1,2.0,1.5429,0.4571,0,90.91,53,0,0,0.0
main_claude_opus_recovery_20260521_162403,claude-opus-4-6,adaptive,none,1strike,CAUGHT,10,1.0,1.3,1.5429,-0.2429,1,90.91,54,0,0,0.0
main_claude_opus_smooth_20260518_235840,claude-opus-4-6,adaptive,none,smooth,NA,7,0.2857,2.2857,1.5429,0.7428,0,92.86,34,0,0,0.0
main_claude_opus_smooth_20260519_223512,claude-opus-4-6,adaptive,none,smooth,NA,7,0.1429,1.1429,1.5429,-0.4,0,89.29,36,0,0,0.0
main_claude_opus_smooth_20260521_142608,claude-opus-4-6,adaptive,none,smooth,NA,7,0.1429,1.0,1.5429,-0.5429,0,92.86,34,0,0,0.0
main_claude_opus_smooth_20260521_143302,claude-opus-4-6,adaptive,none,smooth,NA,7,0.1429,1.8571,1.5429,0.3142,0,89.29,36,0,0,0.0
main_claude_opus_smooth_20260521_144123,claude-opus-4-6,adaptive,none,smooth,NA,7,0.1429,1.4286,1.5429,-0.1143,0,89.29,36,0,0,0.0
main_claude_sonnet_recovery_20260518_220520,claude-sonnet-4-6,adaptive,none,1strike,CATAS,10,0.1,2.3,1.8571,0.4429,0,86.36,56,0,0,0.0
main_claude_sonnet_recovery_20260519_213125,claude-sonnet-4-6,adaptive,none,1strike,CATAS,10,0.0,2.2,1.8571,0.3429,0,88.64,53,0,0,0.0
main_claude_sonnet_recovery_20260520_200714,claude-sonnet-4-6,adaptive,none,1strike,CAUGHT,10,1.1,1.9,1.8571,0.0429,1,81.82,65,0,0,0.0
main_claude_sonnet_recovery_20260520_203212,claude-sonnet-4-6,adaptive,none,1strike,CAUGHT,10,0.1,0.7,1.8571,-1.1571,0,88.64,55,0,0,0.0
main_claude_sonnet_recovery_20260520_204656,claude-sonnet-4-6,adaptive,none,1strike,CAUGHT,10,0.2,2.2,1.8571,0.3429,0,90.91,54,0,0,0.0
main_claude_sonnet_recovery_20260521_144151,claude-sonnet-4-6,adaptive,none,1strike,CAUGHT,10,0.3,1.6,1.8571,-0.2571,0,86.36,60,0,0,0.0
main_claude_sonnet_recovery_20260521_150147,claude-sonnet-4-6,adaptive,none,1strike,CATAS,10,1.0,1.1,1.8571,-0.7571,1,88.64,53,0,0,0.0
main_claude_sonnet_recovery_20260521_151959,claude-sonnet-4-6,adaptive,none,1strike,MEMBER,10,2.0,0.3,1.8571,-1.5571,1,90.91,54,0,0,0.0
main_claude_sonnet_recovery_20260521_153349,claude-sonnet-4-6,adaptive,none,1strike,CAUGHT,10,0.5,2.7,1.8571,0.8429,0,81.82,67,0,0,0.0
main_claude_sonnet_recovery_20260521_155528,claude-sonnet-4-6,adaptive,none,1strike,CAUGHT,10,0.1,1.5,1.8571,-0.3571,0,88.64,56,0,0,0.0
main_claude_sonnet_smooth_20260518_225622,claude-sonnet-4-6,adaptive,none,smooth,NA,7,0.0,1.5714,1.8571,-0.2857,0,92.86,34,0,0,0.0
main_claude_sonnet_smooth_20260521_134312,claude-sonnet-4-6,adaptive,none,smooth,NA,7,0.5714,2.4286,1.8571,0.5715,1,85.71,38,0,0,0.0
main_claude_sonnet_smooth_20260521_135403,claude-sonnet-4-6,adaptive,none,smooth,NA,7,0.1429,2.4286,1.8571,0.5715,0,89.29,34,0,0,0.0
main_claude_sonnet_smooth_20260521_140311,claude-sonnet-4-6,adaptive,none,smooth,NA,7,0.2857,1.8571,1.8571,-0.0,0,89.29,36,0,0,0.0
main_claude_sonnet_smooth_20260521_141514,claude-sonnet-4-6,adaptive,none,smooth,NA,7,1.1429,1.0,1.8571,-0.8571,1,85.71,38,0,0,0.0
main_gemini_flash_recovery_20260519_220233,gemini-2.5-flash,high,none,1strike,CAUGHT,10,0.9,4.9,3.5714,1.3286,1,34.09,103,0,0,0.0
main_gemini_flash_recovery_20260520_021700,gemini-2.5-flash,high,none,1strike,CATAS,10,1.4,4.1,3.5714,0.5286,1,40.91,92,0,0,0.0
main_gemini_flash_recovery_20260520_022807,gemini-2.5-flash,high,none,1strike,CAUGHT,10,0.7,3.5,3.5714,-0.0714,1,59.09,79,0,0,0.0
main_gemini_flash_recovery_20260520_023828,gemini-2.5-flash,high,none,1strike,CAUGHT,10,1.5,5.0,3.5714,1.4286,1,25.0,108,0,0,0.0
main_gemini_flash_recovery_20260520_025209,gemini-2.5-flash,high,none,1strike,CAUGHT,10,0.2,2.2,3.5714,-1.3714,0,84.09,56,0,0,0.0
main_gemini_flash_recovery_20260520_025717,gemini-2.5-flash,high,none,1strike,CAUGHT,10,1.1,3.5,3.5714,-0.0714,1,59.09,82,0,0,0.0
main_gemini_flash_recovery_20260520_030720,gemini-2.5-flash,high,none,1strike,CAUGHT,10,0.8,3.2,3.5714,-0.3714,1,65.91,74,0,0,0.0
main_gemini_flash_recovery_20260520_031601,gemini-2.5-flash,high,none,1strike,CATAS,10,1.4,5.2,3.5714,1.6286,1,25.0,107,0,0,0.0
main_gemini_flash_recovery_20260520_032922,gemini-2.5-flash,high,none,1strike,CATAS,10,1.5,4.1,3.5714,0.5286,1,36.36,102,0,0,0.0
main_gemini_flash_recovery_20260520_034213,gemini-2.5-flash,high,none,1strike,CATAS,10,1.7,4.8,3.5714,1.2286,1,22.73,107,0,0,0.0
main_gemini_flash_smooth_20260519_221826,gemini-2.5-flash,high,none,smooth,NA,7,0.7143,3.8571,3.5714,0.2857,1,53.57,55,0,0,0.0
main_gemini_flash_smooth_20260521_142757,gemini-2.5-flash,high,none,smooth,NA,7,0.0,2.0,3.5714,-1.5714,0,100.0,28,0,0,0.0
main_gemini_flash_smooth_20260521_143026,gemini-2.5-flash,high,none,smooth,NA,7,1.5714,4.1429,3.5714,0.5715,1,39.29,65,0,0,0.0
main_gemini_flash_smooth_20260521_143723,gemini-2.5-flash,high,none,smooth,NA,7,1.7143,5.1429,3.5714,1.5715,1,32.14,68,0,0,0.0
main_gemini_flash_smooth_20260521_144536,gemini-2.5-flash,high,none,smooth,NA,7,0.2857,2.7143,3.5714,-0.8571,0,85.71,38,0,0,0.0
main_gemini_recovery_20260519_221100,gemini-3.1-pro-preview,high,none,1strike,CATAS,10,1.0,1.0,0.6286,0.3714,1,90.91,50,0,0,0.0
main_gemini_recovery_20260519_222321,gemini-3.1-pro-preview,high,none,1strike,MEMBER,10,0.6,2.0,0.6286,1.3714,1,79.55,65,0,0,0.0
main_gemini_recovery_20260520_200808,gemini-3.1-pro-preview,high,none,1strike,MEMBER,10,0.4,1.5,0.6286,0.8714,0,86.36,58,0,0,0.0
main_gemini_recovery_20260520_201620,gemini-3.1-pro-preview,high,none,1strike,CATAS,10,1.2,1.7,0.6286,1.0714,1,79.55,63,0,0,0.0
main_gemini_recovery_20260521_142412,gemini-3.1-pro-preview,high,none,1strike,MEMBER,10,1.1,3.3,0.6286,2.6714,1,61.36,85,0,0,0.0
main_gemini_recovery_20260522_000026,gemini-3.1-pro-preview,high,none,1strike,MEMBER,10,1.2,1.6,0.6286,0.9714,1,79.55,67,0,0,0.0
main_gemini_recovery_20260522_001150,gemini-3.1-pro-preview,high,none,1strike,MEMBER,10,0.9,2.1,0.6286,1.4714,1,75.0,72,0,0,0.0
main_gemini_recovery_20260522_002306,gemini-3.1-pro-preview,high,none,1strike,CATAS,10,0.0,2.0,0.6286,1.3714,0,90.91,50,0,0,0.0
main_gemini_recovery_20260522_002948,gemini-3.1-pro-preview,high,none,1strike,MEMBER,10,1.2,2.8,0.6286,2.1714,1,68.18,78,0,0,0.0
main_gemini_recovery_20260522_004232,gemini-3.1-pro-preview,high,none,1strike,CATAS,10,0.0,2.0,0.6286,1.3714,0,90.91,50,0,0,0.0
main_gemini_smooth_20260521_144620,gemini-3.1-pro-preview,high,none,smooth,NA,7,0.0,0.5714,0.6286,-0.0572,0,100.0,28,0,0,0.0
main_gemini_smooth_20260521_144954,gemini-3.1-pro-preview,high,none,smooth,NA,7,0.0,0.4286,0.6286,-0.2,0,96.43,31,0,0,0.0
main_gemini_smooth_20260521_145407,gemini-3.1-pro-preview,high,none,smooth,NA,7,0.0,1.0,0.6286,0.3714,0,92.86,34,0,0,0.0
main_gemini_smooth_20260521_145846,gemini-3.1-pro-preview,high,none,smooth,NA,7,0.0,0.5714,0.6286,-0.0572,0,100.0,28,0,0,0.0
main_gemini_smooth_20260522_151721,gemini-3.1-pro-preview,high,none,smooth,NA,7,0.0,0.5714,0.6286,-0.0572,0,96.43,31,0,0,0.0
main_gpt5_mini_recovery_20260519_230306,gpt-5.4-mini-2026-03-17,high,none,1strike,MEMBER,10,1.0,1.8,1.1714,0.6286,1,77.27,70,0,0,0.0
main_gpt5_mini_recovery_20260519_233314,gpt-5.4-mini-2026-03-17,high,none,1strike,CATAS,10,0.2,2.7,1.1714,1.5286,0,72.73,72,0,0,0.0
main_gpt5_mini_recovery_20260520_004525,gpt-5.4-mini-2026-03-17,high,none,1strike,CATAS,10,0.0,0.2,1.1714,-0.9714,0,90.91,50,0,0,0.0
main_gpt5_mini_recovery_20260520_005226,gpt-5.4-mini-2026-03-17,high,none,1strike,CATAS,10,0.1,1.9,1.1714,0.7286,0,79.55,64,0,0,0.0
main_gpt5_mini_recovery_20260520_010846,gpt-5.4-mini-2026-03-17,high,none,1strike,CATAS,10,0.2,1.2,1.1714,0.0286,0,86.36,55,0,0,0.0
main_gpt5_mini_recovery_20260520_012127,gpt-5.4-mini-2026-03-17,high,none,1strike,CATAS,10,0.2,3.5,1.1714,2.3286,0,70.45,76,0,0,0.0
